Time,q1,q2,q3,q4,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z
1732596891342.074,0.6236572265625,-0.517333984375,0.37640380859375,-0.44921875,-0.01,-9.870000000000001,1.74,-44.1875,16.1875,12.25,-0.008726646259971648,0.002181661564992912,0.004363323129985824
1732596891626.947,0.6236572265625,-0.51727294921875,0.3763427734375,-0.44927978515625,0.02,-9.9,1.9100000000000001,-44.875,15.5625,12.25,-0.006544984694978736,0.0,0.001090830782496456
1732596891751.789,0.6236572265625,-0.51727294921875,0.3763427734375,-0.44927978515625,-0.07,-9.92,1.9100000000000001,-43.0625,15.5625,11.875,0.001090830782496456,0.0,-0.001090830782496456
1732596891874.974,0.6236572265625,-0.51727294921875,0.3763427734375,-0.44927978515625,-0.15,-9.92,1.92,-42.6875,15.875,12.25,0.004363323129985824,-0.001090830782496456,0.004363323129985824
1732596891999.668,0.6236572265625,-0.51727294921875,0.37640380859375,-0.44921875,-0.27,-9.91,1.8900000000000001,-43.75,15.5625,12.25,-0.002181661564992912,-0.00545415391248228,0.00545415391248228
1732596892124.4258,0.6236572265625,-0.51727294921875,0.37640380859375,-0.44921875,-0.24,-9.74,1.87,-43.75,16.1875,12.6875,-0.003272492347489368,0.0,0.014180800172453928
1732596892247.162,0.62371826171875,-0.517333984375,0.376708984375,-0.44879150390625,-0.76,-9.66,1.81,-42.25,15.1875,11.875,-0.015271630954950384,-0.014180800172453928,0.003272492347489368
1732596892368.669,0.62384033203125,-0.5172119140625,0.37615966796875,-0.44921875,-0.46,-9.65,2.07,-44.1875,15.5625,12.25,-0.006544984694978736,-0.018544123302439753,-0.014180800172453928
1732596892490.07,0.62359619140625,-0.5172119140625,0.37664794921875,-0.44915771484375,-0.41000000000000003,-9.77,1.76,-44.1875,16.5625,12.25,-0.025089107997418487,-0.017453292519943295,-0.006544984694978736
1732596892614.55,0.62371826171875,-0.51708984375,0.37677001953125,-0.44903564453125,-0.4,-9.89,1.78,-43.0625,15.1875,12.6875,-0.0272707695624114,0.007635815477475192,-0.003272492347489368
1732596892737.609,0.623779296875,-0.51690673828125,0.37646484375,-0.44940185546875,0.0,-9.89,2.2,-43.75,14.75,12.25,-0.011999138607461015,0.001090830782496456,-0.01090830782496456
1732596892862.215,0.623779296875,-0.5169677734375,0.376708984375,-0.44915771484375,-0.22,-9.94,1.8800000000000001,-43.75,15.875,11.5625,0.015271630954950384,-0.002181661564992912,-0.007635815477475192
1732596892986.0698,0.623779296875,-0.5169677734375,0.37652587890625,-0.44927978515625,-0.27,-9.8,1.72,-44.5625,15.5625,12.25,0.002181661564992912,0.001090830782496456,0.0
1732596893109.59,0.6239013671875,-0.51666259765625,0.37615966796875,-0.44976806640625,0.12,-10.07,2.06,-43.375,15.1875,12.25,0.003272492347489368,0.016362461737446838,0.001090830782496456
1732596893233.7798,0.624267578125,-0.5162353515625,0.3760986328125,-0.4498291015625,0.22,-9.98,1.84,-43.75,15.1875,12.25,0.031634092692397225,0.006544984694978736,-0.013089969389957472
1732596893354.451,0.62408447265625,-0.5164794921875,0.37640380859375,-0.44952392578125,-0.11,-9.950000000000001,1.29,-42.6875,15.5625,12.25,-0.003272492347489368,0.006544984694978736,-0.009817477042468103
1732596893478.646,0.62420654296875,-0.51629638671875,0.376220703125,-0.44970703125,0.15,-9.91,1.8800000000000001,-43.0625,15.5625,11.875,-0.030543261909900768,-0.004363323129985824,0.006544984694978736
1732596893601.804,0.62451171875,-0.5159912109375,0.37603759765625,-0.44989013671875,0.16,-9.91,2.09,-44.1875,15.875,11.875,-0.009817477042468103,-0.004363323129985824,0.0
1732596893722.496,0.6243896484375,-0.51611328125,0.37615966796875,-0.44976806640625,-0.07,-9.89,1.9100000000000001,-43.375,15.5625,11.875,0.007635815477475192,0.004363323129985824,-0.004363323129985824
1732596893847.152,0.62445068359375,-0.51605224609375,0.3759765625,-0.44989013671875,0.0,-9.93,1.8900000000000001,-44.1875,15.1875,11.875,-0.004363323129985824,0.003272492347489368,0.002181661564992912
1732596893971.7332,0.62445068359375,-0.51605224609375,0.3759765625,-0.44989013671875,0.0,-9.91,1.98,-44.5625,15.5625,13.375,0.006544984694978736,-0.002181661564992912,0.004363323129985824
1732596894093.607,0.62445068359375,-0.51605224609375,0.37591552734375,-0.449951171875,0.01,-9.91,1.9000000000000001,-43.75,15.875,11.1875,0.01090830782496456,0.001090830782496456,0.002181661564992912
1732596894216.755,0.62445068359375,-0.51605224609375,0.37591552734375,-0.449951171875,-0.03,-9.91,1.69,-43.0625,15.875,12.6875,0.0,-0.001090830782496456,0.002181661564992912
1732596894336.56,0.62445068359375,-0.5159912109375,0.3758544921875,-0.45001220703125,0.02,-9.91,1.82,-43.75,16.5625,12.6875,-0.00545415391248228,-0.003272492347489368,0.003272492347489368
1732596894460.622,0.62445068359375,-0.51605224609375,0.37579345703125,-0.4500732421875,-0.02,-9.91,1.94,-45.25,15.5625,13.375,-0.002181661564992912,0.0,0.001090830782496456
1732596894581.346,0.62445068359375,-0.51605224609375,0.37579345703125,-0.4500732421875,-0.03,-9.91,1.9100000000000001,-43.75,15.5625,12.25,0.003272492347489368,-0.003272492347489368,0.0
1732596894706.047,0.62445068359375,-0.5159912109375,0.37579345703125,-0.4500732421875,-0.04,-9.88,1.87,-43.375,15.875,11.875,0.0,0.001090830782496456,0.004363323129985824
1732596894828.998,0.62445068359375,-0.5159912109375,0.37579345703125,-0.4500732421875,-0.01,-9.88,1.86,-44.1875,15.875,12.25,-0.001090830782496456,0.003272492347489368,0.002181661564992912
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1732596895076.61,0.62445068359375,-0.5159912109375,0.37579345703125,-0.4500732421875,-0.04,-9.9,1.85,-41.875,14.75,13.375,0.001090830782496456,-0.001090830782496456,-0.001090830782496456
1732596895201.051,0.62445068359375,-0.5159912109375,0.37579345703125,-0.4500732421875,-0.04,-9.91,1.83,-41.875,16.5625,11.875,-0.003272492347489368,-0.004363323129985824,-0.001090830782496456
1732596895324.19,0.62445068359375,-0.5159912109375,0.37579345703125,-0.4500732421875,0.0,-9.92,1.8900000000000001,-43.0625,15.1875,12.6875,-0.001090830782496456,0.0,-0.001090830782496456
1732596895448.17,0.62445068359375,-0.5159912109375,0.37579345703125,-0.4500732421875,-0.03,-9.91,1.9000000000000001,-44.1875,15.5625,11.1875,0.0,0.001090830782496456,0.0
1732596895570.7441,0.62445068359375,-0.5159912109375,0.37579345703125,-0.4500732421875,-0.03,-9.9,1.87,-44.875,15.5625,11.5625,0.002181661564992912,-0.001090830782496456,0.001090830782496456
1732596895694.559,0.62445068359375,-0.5159912109375,0.37579345703125,-0.4500732421875,-0.02,-9.9,1.8800000000000001,-44.1875,15.875,12.25,-0.004363323129985824,0.0,-0.004363323129985824
1732596895818.6929,0.62445068359375,-0.5159912109375,0.37579345703125,-0.4500732421875,0.0,-9.91,1.8800000000000001,-44.1875,15.875,12.25,0.001090830782496456,0.0,-0.003272492347489368
1732596895940.892,0.62445068359375,-0.5159912109375,0.37579345703125,-0.4500732421875,-0.03,-9.9,1.85,-43.375,15.5625,12.6875,-0.006544984694978736,-0.001090830782496456,0.0
1732596896063.893,0.62451171875,-0.5159912109375,0.375732421875,-0.45013427734375,0.0,-10.07,1.96,-43.0625,15.5625,12.25,0.015271630954950384,0.0,0.001090830782496456
1732596896186.73,0.62432861328125,-0.51611328125,0.3758544921875,-0.4500732421875,0.01,-9.78,1.76,-44.875,15.875,11.5625,-0.022907446432425576,0.002181661564992912,-0.007635815477475192
1732596896310.2441,0.62432861328125,-0.51611328125,0.37591552734375,-0.45001220703125,0.0,-9.83,1.8900000000000001,-42.25,15.5625,11.875,-0.018544123302439753,0.003272492347489368,0.002181661564992912
1732596897151.041,0.6240234375,-0.5162353515625,0.3758544921875,-0.450439453125
1732597028144.394,0.6260986328125,-0.51666259765625,0.3729248046875,-0.44940185546875,-0.04,-9.96,1.95,-43.0625,15.1875,14.1875,-0.002181661564992912,-0.006544984694978736,-0.00545415391248228
1732597028266.032,0.6263427734375,-0.5166015625,0.3729248046875,-0.44915771484375,-0.21,-9.950000000000001,1.98,-43.75,15.875,13.375,-0.007635815477475192,-0.013089969389957472,-0.00545415391248228
1732597028389.8462,0.62628173828125,-0.51666259765625,0.3729248046875,-0.44915771484375,0.03,-9.92,1.78,-44.5625,16.1875,12.6875,-0.004363323129985824,0.0,0.001090830782496456
1732597028514.961,0.626220703125,-0.51678466796875,0.37298583984375,-0.4490966796875,-0.01,-9.89,1.9100000000000001,-44.5625,15.1875,12.6875,0.006544984694978736,-0.001090830782496456,-0.002181661564992912
1732597028638.7031,0.62652587890625,-0.51629638671875,0.3734130859375,-0.4488525390625,-0.9,-10.28,1.8,-43.375,15.875,13.75,-0.009817477042468103,-0.002181661564992912,0.013089969389957472
1732597028760.601,0.626220703125,-0.516845703125,0.37335205078125,-0.44873046875,-1.44,-9.84,1.67,-43.0625,16.1875,13.75,-0.06217735460229799,-0.025089107997418487,0.044724062082354694
1732597028883.302,0.62646484375,-0.5167236328125,0.37213134765625,-0.44952392578125,-0.12,-9.98,2.54,-44.875,15.875,11.875,-0.050178215994836975,-0.004363323129985824,0.019634954084936207
1732597029005.9731,0.62652587890625,-0.51629638671875,0.3719482421875,-0.4500732421875,0.45,-9.67,2.54,-42.75,14.75,12.6875,-0.01090830782496456,0.018544123302439753,-0.007635815477475192
1732597029130.136,0.6270751953125,-0.51641845703125,0.3719482421875,-0.44915771484375,0.22,-9.88,1.8800000000000001,-43.75,15.5625,12.6875,0.07417649320975901,-0.02181661564992912,-0.001090830782496456
1732597029253.718,0.627197265625,-0.5169677734375,0.3719482421875,-0.4483642578125,0.26,-9.92,1.32,-43.75,16.1875,13.0625,0.003272492347489368,-0.00545415391248228,-0.004363323129985824
1732597029377.785,0.628662109375,-0.51715087890625,0.370849609375,-0.44696044921875,0.43,-9.94,1.8800000000000001,-43.0625,15.5625,12.25,0.004363323129985824,-0.04581489286485115,0.016362461737446838
1732597029498.928,0.63067626953125,-0.51776123046875,0.36993408203125,-0.4442138671875,-0.13,-9.82,1.93,-43.0625,15.5625,13.0625,-0.04581489286485115,-0.06435901616729091,0.016362461737446838
1732597029627.485,0.6331787109375,-0.51873779296875,0.3680419921875,-0.44110107421875,-0.14,-8.85,2.39,-43.375,15.5625,13.75,-0.05890486225480862,-0.05781403147231216,-0.014180800172453928
1732597029752.096,0.63519287109375,-0.51983642578125,0.3665771484375,-0.43804931640625,0.06,-10.27,2.47,-44.5625,15.1875,14.5625,-0.0272707695624114,-0.06326818538479445,0.020725784867432664
1732597029876.688,0.6370849609375,-0.52069091796875,0.36553955078125,-0.4351806640625,-0.19,-10.57,1.98,-43.375,16.5625,13.375,0.11562806294462433,-0.07308566242726255,0.02181661564992912
