Time,frame_num
1733362706.0430465,frame1.png
1733362715.9999638,frame2.png
1733362716.37378,frame3.png
1733362716.6533256,frame4.png
1733362716.8536544,frame5.png
1733362766.2473044,frame6.png
1733362766.4601529,frame7.png
1733362766.5804977,frame8.png
1733362787.0675232,frame9.png
1733362796.7564633,frame10.png
1733362806.4258204,frame11.png
1733362817.3172424,frame12.png
1733362827.1072054,frame13.png
1733362847.3862777,frame14.png
1733362847.5199752,frame15.png
1733362867.3255322,frame16.png
1733362877.3159354,frame17.png
1733362888.5687237,frame18.png
1733362888.7420337,frame19.png
1733362914.1367314,frame20.png
1733362914.3787005,frame21.png
1733362933.6813238,frame22.png
1733362933.855447,frame23.png
1733362951.6154144,frame24.png
1733362951.7882502,frame25.png
1733362977.7511895,frame26.png
1733362977.929292,frame27.png
1733362986.397181,frame28.png
1733362995.946996,frame29.png
1733363011.0702784,frame30.png
1733363024.068943,frame31.png
1733363039.7149625,frame32.png
1733363049.7046695,frame33.png
1733363070.407752,frame34.png
1733363079.7367184,frame35.png
1733363088.5428336,frame36.png
1733363098.027833,frame37.png
1733363108.1782293,frame38.png
1733363118.407788,frame39.png
1733363130.0821705,frame40.png
1733363141.8561485,frame41.png
1733363153.553673,frame42.png
1733363165.4097798,frame43.png
1733363184.744068,frame44.png
1733363194.1523964,frame45.png
1733363204.9645023,frame46.png
1733363216.9401724,frame47.png
1733363226.92944,frame48.png
1733363235.9367528,frame49.png
1733363246.8073761,frame50.png
1733363258.4018993,frame51.png
1733363268.1513312,frame52.png
1733363281.0492933,frame53.png
1733363309.556596,frame54.png
1733363319.8236706,frame55.png
1733363330.8167398,frame56.png
1733363330.9899092,frame57.png
1733363340.4063406,frame58.png
1733363353.5839505,frame59.png
1733363367.3042045,frame60.png
1733363377.7955081,frame61.png
1733363387.9456592,frame62.png
1733363400.1609538,frame63.png
1733363412.2792726,frame64.png
1733363426.8020568,frame65.png
1733363435.9075222,frame66.png
1733363460.0185149,frame67.png
1733363472.8166885,frame68.png
1733363485.6945548,frame69.png
1733363485.8897355,frame70.png
1733363508.743426,frame71.png
1733363508.8963082,frame72.png
