timestamp,longitude,latitude,altitude
1733193271437.709,-117.234246,32.881148,112.0
1733193272189.453,-117.234246,32.881148,112.0
1733193280199.7322,-117.234183,32.881211,112.1
1733193280954.278,-117.234183,32.881211,112.1
1733193291932.461,-117.234156,32.881041,109.9
1733193292673.37,-117.234156,32.881041,109.9
1733193302941.179,-117.234168,32.881021,109.2
1733193303689.357,-117.234168,32.881021,109.2
1733193317457.568,-117.23423,32.881151,108.6
1733193318207.329,-117.23423,32.881151,108.6
1733193334057.766,-117.23418,32.88118,108.6
1733193334814.716,-117.23418,32.88118,108.6
1733193343056.062,-117.234125,32.881201,107.8
1733193343808.536,-117.234125,32.881201,107.8
1733193362613.207,-117.234093,32.880998,106.7
1733193363360.465,-117.234093,32.880998,106.7
1733193378229.7922,-117.23412,32.880965,105.1
1733193378978.862,-117.23412,32.880965,105.1
1733193389336.7231,-117.234138,32.880845,104.7
1733193390091.0908,-117.234138,32.880845,104.7
1733193401810.873,-117.23407,32.880803,102.6
1733193402553.0442,-117.23407,32.880803,102.6
1733193417568.428,-117.233995,32.880916,102.0
1733193418318.736,-117.233995,32.880916,102.0
1733193427324.372,-117.233986,32.881,102.2
1733193428063.04,-117.233986,32.881,102.2
1733193436199.367,-117.233963,32.881075,102.4
1733193436947.663,-117.233963,32.881075,102.4
1733193448819.734,-117.233935,32.881143,103.3
1733193449565.188,-117.233935,32.881143,103.3
1733193460702.299,-117.233928,32.88111,104.9
1733193461451.4329,-117.233928,32.88111,104.9
1733193471455.666,-117.23394,32.881071,107.2
1733193472200.296,-117.23394,32.881071,107.2
1733193482069.429,-117.233918,32.88106,106.8
1733193482817.8762,-117.233918,32.88106,106.8
1733193494932.589,-117.233868,32.881086,107.0
1733193495674.566,-117.233868,32.881086,107.0
1733193505813.207,-117.233848,32.88107,107.6
1733193506563.821,-117.233848,32.88107,107.6
1733193515933.958,-117.233825,32.881078,107.3
1733193516678.045,-117.233825,32.881078,107.3
1733193538207.803,-117.23381,32.881066,107.0
1733193538957.3938,-117.23381,32.881066,107.0
1733193559006.595,-117.233793,32.88105,107.8
1733193559747.662,-117.233793,32.88105,107.8
1733193568210.065,-117.233805,32.881045,108.2
1733193568958.4128,-117.233805,32.881045,108.2
1733193577446.897,-117.233781,32.881053,109.0
1733193578193.907,-117.233781,32.881053,109.0
1733193587822.452,-117.233748,32.881046,109.5
1733193588572.0889,-117.233748,32.881046,109.5
1733193598930.307,-117.233781,32.881015,109.7
1733193599673.961,-117.233781,32.881015,109.7
1733193610575.808,-117.233821,32.880976,109.6
1733193611325.745,-117.233821,32.880976,109.6
1733193619815.642,-117.233756,32.881005,109.5
1733193620565.653,-117.233756,32.881005,109.5
1733193631325.9758,-117.233703,32.881021,108.5
1733193632076.784,-117.233703,32.881021,108.5
1733193642311.147,-117.23372,32.880985,108.2
1733193643050.182,-117.23372,32.880985,108.2
1733193656252.742,-117.233743,32.88097,108.0
1733193656995.6829,-117.233743,32.88097,108.0
1733193666617.6802,-117.233753,32.881078,107.9
1733193667361.4622,-117.233753,32.881078,107.9
1733193678369.852,-117.23379,32.881051,108.2
1733193679126.245,-117.23379,32.881051,108.2
1733193690870.419,-117.23372,32.881025,107.9
1733193691616.936,-117.23372,32.881025,107.9
1733193700124.332,-117.233696,32.880988,108.0
1733193700870.248,-117.233696,32.880988,108.0
1733193708858.0898,-117.233683,32.880935,107.9
1733193709600.749,-117.233683,32.880935,107.9
1733193720497.709,-117.233685,32.8809,107.9
1733193721252.441,-117.233685,32.8809,107.9
1733193733506.218,-117.23371,32.880951,107.8
1733193734255.647,-117.23371,32.880951,107.8
1733193755610.069,-117.23364,32.880948,109.2
1733193756353.649,-117.23364,32.880948,109.2
1733193766262.779,-117.233618,32.880901,109.3
1733193767008.704,-117.233618,32.880901,109.3
1733193776268.487,-117.233601,32.880913,109.1
1733193777011.941,-117.233601,32.880913,109.1
1733193786043.418,-117.233551,32.8809,108.9
1733193786785.476,-117.233551,32.8809,108.9
1733193797438.912,-117.233508,32.880905,109.0
1733193798195.528,-117.233508,32.880905,109.0
1733193813437.144,-117.233473,32.880865,110.1
1733193814187.734,-117.233473,32.880865,110.1
1733193825190.377,-117.233463,32.880835,110.3
1733193825946.757,-117.233463,32.880835,110.3
1733193836042.567,-117.233456,32.880858,111.1
1733193836792.256,-117.233456,32.880858,111.1
1733193846824.35,-117.233486,32.880848,110.5
1733193847578.705,-117.233486,32.880848,110.5
1733193860323.331,-117.233465,32.880878,110.4
1733193861067.009,-117.233465,32.880878,110.4
1733193873440.4458,-117.233431,32.88091,110.0
1733193874190.0889,-117.233431,32.88091,110.0
1733193883807.074,-117.233426,32.880905,109.6
1733193884549.8108,-117.233426,32.880905,109.6
1733193898332.639,-117.23346,32.880843,110.3
1733193899074.862,-117.23346,32.880843,110.3
1733193912037.44,-117.233455,32.880791,108.5
1733193912778.87,-117.233455,32.880791,108.5
1733193923183.288,-117.233445,32.880771,108.0
1733193923928.8398,-117.233445,32.880771,108.0
1733193934505.951,-117.233371,32.880731,107.0
1733193935256.891,-117.233371,32.880731,107.0
1733193947514.059,-117.233418,32.880656,106.6
1733193948255.77,-117.233418,32.880656,106.6
1733193958254.531,-117.233431,32.880648,106.3
1733193959003.4722,-117.233431,32.880648,106.3
1733193969985.6318,-117.233428,32.880675,106.3
1733193970728.737,-117.233428,32.880675,106.3
1733193980892.469,-117.23345,32.880716,106.8
1733193981644.977,-117.23345,32.880716,106.8
1733193991512.042,-117.233421,32.880718,107.1
1733193992261.621,-117.233421,32.880718,107.1
