Time,Longitude,Latitude,Altitude
1733362786438.353,-117.235015,32.881268,147.9
1733362786560.097,-117.235015,32.881268,147.9
1733362786684.556,-117.235015,32.881268,147.9
1733362787432.6838,-117.235015,32.881268,147.9
1733362791377.764,-117.235015,32.881268,147.9
1733362791502.396,-117.235015,32.881268,147.9
1733362791629.531,-117.235015,32.881268,147.9
1733362791752.531,-117.235015,32.881268,147.9
1733362791881.6782,-117.235015,32.881268,147.9
1733362792006.806,-117.235015,32.881268,147.9
1733362792133.892,-117.235015,32.881268,147.9
1733362792256.091,-117.235015,32.881268,147.9
1733362792382.226,-117.235015,32.881268,147.9
1733362792507.956,-117.235015,32.881268,147.9
1733362792633.428,-117.235015,32.881268,147.9
1733362792760.339,-117.235015,32.881268,147.9
1733362792885.4238,-117.235015,32.881268,147.9
1733362793012.5981,-117.235015,32.881268,147.9
1733362793139.026,-117.235015,32.881268,147.9
1733362793263.783,-117.235015,32.881268,147.9
1733362793392.134,-117.235015,32.881268,147.9
1733362793512.433,-117.235015,32.881268,147.9
1733362793640.357,-117.235015,32.881268,147.9
1733362793767.3372,-117.235015,32.881268,147.9
1733362793895.072,-117.235015,32.881268,147.9
1733362794021.939,-117.235015,32.881268,147.9
1733362794149.366,-117.235015,32.881268,147.9
1733362794274.812,-117.235015,32.881268,147.9
1733362794402.017,-117.235015,32.881268,147.9
1733362794527.253,-117.235015,32.881268,147.9
1733362794654.4868,-117.235015,32.881268,147.9
1733362794778.062,-117.235015,32.881268,147.9
1733362794905.1199,-117.235015,32.881268,147.9
1733362795030.308,-117.235015,32.881268,147.9
1733362795157.413,-117.235015,32.881268,147.9
1733362795281.016,-117.234505,32.881030,97.2
1733362795411.132,-117.234505,32.881030,97.2
1733362795540.4219,-117.234508,32.881070,89.3
1733362795670.9348,-117.234508,32.881070,89.3
1733362795796.631,-117.234511,32.881098,86.9
1733362795925.0842,-117.234511,32.881098,86.9
1733362796055.391,-117.234510,32.881111,85.3
1733362796176.7449,-117.234510,32.881111,85.3
1733362796304.2869,-117.234518,32.881130,83.8
1733362797049.4248,-117.234518,32.881130,83.8
1733362801044.5261,-117.234516,32.881126,78.4
1733362801171.9429,-117.234516,32.881126,78.4
1733362801300.4329,-117.234521,32.881125,75.4
1733362801428.041,-117.234521,32.881125,75.4
1733362801550.802,-117.234526,32.881130,72.9
1733362801680.1072,-117.234526,32.881130,72.9
1733362801807.486,-117.234528,32.881136,70.6
1733362801937.1418,-117.234528,32.881136,70.6
1733362802066.821,-117.234540,32.881146,70.3
1733362802193.685,-117.234540,32.881146,70.3
1733362802321.376,-117.234551,32.881153,70.1
1733362802447.711,-117.234551,32.881153,70.1
1733362802577.239,-117.234556,32.881158,69.7
1733362802704.148,-117.234556,32.881158,69.7
1733362802829.4639,-117.234558,32.881155,68.9
1733362802956.9932,-117.234558,32.881155,68.9
1733362803081.793,-117.234560,32.881155,67.7
1733362803206.0671,-117.234560,32.881155,67.7
1733362803335.129,-117.234566,32.881153,67.1
1733362803462.635,-117.234566,32.881153,67.1
1733362803593.149,-117.234578,32.881158,65.9
1733362803721.7979,-117.234578,32.881158,65.9
1733362803845.054,-117.234590,32.881160,64.7
1733362803974.072,-117.234590,32.881160,64.7
1733362804101.398,-117.234598,32.881155,63.3
1733362804223.238,-117.234598,32.881155,63.3
1733362804353.108,-117.234603,32.881145,61.6
1733362804480.999,-117.234603,32.881145,61.6
1733362804609.803,-117.234608,32.881130,60.5
1733362804738.628,-117.234608,32.881130,60.5
1733362804867.341,-117.234611,32.881106,59.1
1733362804996.151,-117.234611,32.881106,59.1
1733362805123.716,-117.234623,32.881093,58.8
1733362805251.454,-117.234623,32.881093,58.8
1733362805379.572,-117.234633,32.881078,58.9
1733362805509.6309,-117.234633,32.881078,58.9
1733362805632.3918,-117.234636,32.881058,59.2
1733362805760.418,-117.234636,32.881058,59.2
1733362805889.362,-117.234636,32.881028,58.3
1733362806015.248,-117.234636,32.881028,58.3
1733362806753.625,-117.234631,32.880996,57.6
1733362811980.894,-117.234631,32.880996,57.6
1733362812107.441,-117.234635,32.880966,57.1
1733362812232.6082,-117.234635,32.880966,57.1
1733362812360.198,-117.234638,32.880936,56.8
1733362812487.538,-117.234638,32.880936,56.8
1733362812616.12,-117.234643,32.880908,56.9
1733362812736.127,-117.234643,32.880908,56.9
1733362812861.145,-117.234648,32.880881,56.9
1733362812986.068,-117.234648,32.880881,56.9
1733362813112.782,-117.234645,32.880845,56.4
1733362813237.217,-117.234645,32.880845,56.4
1733362813363.144,-117.234648,32.880810,56.3
1733362813489.479,-117.234648,32.880810,56.3
1733362813616.302,-117.234655,32.880770,55.9
1733362813739.365,-117.234655,32.880770,55.9
1733362813866.131,-117.234651,32.880728,55.4
1733362813993.753,-117.234651,32.880728,55.4
1733362814122.844,-117.234641,32.880678,54.7
1733362814250.5642,-117.234641,32.880678,54.7
1733362814378.354,-117.234633,32.880743,55.6
1733362814506.8318,-117.234633,32.880743,55.6
1733362814627.974,-117.234616,32.880786,56.0
1733362814752.429,-117.234616,32.880786,56.0
1733362814881.316,-117.234605,32.880821,56.4
1733362815004.1821,-117.234605,32.880821,56.4
1733362815132.304,-117.234593,32.880780,56.2
1733362815252.807,-117.234593,32.880780,56.2
1733362815381.1792,-117.234588,32.880745,56.1
1733362815502.1638,-117.234588,32.880745,56.1
1733362815631.499,-117.234583,32.880791,56.6
1733362815758.131,-117.234583,32.880791,56.6
1733362815884.287,-117.234585,32.880833,57.0
1733362816009.5972,-117.234585,32.880833,57.0
1733362816135.687,-117.234583,32.880870,57.2
1733362816258.928,-117.234583,32.880870,57.2
1733362816387.708,-117.234570,32.880950,57.1
