Time,Longitude,Latitude,Altitude
1732595449970.255,0.0,0.0,0.0
1732595450169.647,0.0,0.0,0.0
1732595450293.174,0.0,0.0,0.0
1732595450414.091,0.0,0.0,0.0
1732595450538.4878,0.0,0.0,0.0
1732595450662.531,0.0,0.0,0.0
1732595450786.818,0.0,0.0,0.0
1732595450911.07,0.0,0.0,0.0
1732595451035.9858,0.0,0.0,0.0
1732595451160.2522,0.0,0.0,0.0
1732595451284.137,0.0,0.0,0.0
1732595451407.5698,0.0,0.0,0.0
1732595451531.7969,0.0,0.0,0.0
1732595451654.509,0.0,0.0,0.0
1732595451776.375,0.0,0.0,0.0
1732595451898.958,0.0,0.0,0.0
1732595452021.6528,0.0,0.0,0.0
1732595452145.177,0.0,0.0,0.0
1732595452269.5242,0.0,0.0,0.0
1732595452395.161,0.0,0.0,0.0
1732595452518.6401,0.0,0.0,0.0
1732595452641.331,0.0,0.0,0.0
1732595452764.463,0.0,0.0,0.0
1732595452885.9192,0.0,0.0,0.0
1732595453008.6328,0.0,0.0,0.0
1732595453131.5889,0.0,0.0,0.0
1732595453255.044,0.0,0.0,0.0
1732595453378.835,0.0,0.0,0.0
1732595453501.875,0.0,0.0,0.0
1732595453624.967,0.0,0.0,0.0
1732595453749.199,0.0,0.0,0.0
1732595453871.833,0.0,0.0,0.0
1732595453994.511,0.0,0.0,0.0
1732595454118.605,0.0,0.0,0.0
1732595454239.734,0.0,0.0,0.0
1732595454365.15,0.0,0.0,0.0
1732595454489.2048,0.0,0.0,0.0
1732595454613.5718,0.0,0.0,0.0
1732595454736.5671,0.0,0.0,0.0
1732595454860.3079,0.0,0.0,0.0
1732595455696.296,0.0,0.0,0.0
1732595560452.2952,0.0,0.0,0.0
1732595560576.3909,0.0,0.0,0.0
1732595560699.9258,0.0,0.0,0.0
1732595560822.186,0.0,0.0,0.0
1732595560943.666,0.0,0.0,0.0
1732595561068.311,0.0,0.0,0.0
1732595561191.8818,0.0,0.0,0.0
1732595561315.653,0.0,0.0,0.0
1732595561440.5999,0.0,0.0,0.0
1732595561563.714,0.0,0.0,0.0
1732595561686.882,0.0,0.0,0.0
1732595561810.146,0.0,0.0,0.0
1732595561934.042,0.0,0.0,0.0
1732595562060.51,0.0,0.0,0.0
1732595562183.464,0.0,0.0,0.0
1732595562305.416,0.0,0.0,0.0
1732595562428.4001,0.0,0.0,0.0
