Time,q1,q2,q3,q4,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z
1733362710814.9631,0.6734619140625,-0.65008544921875,0.25048828125,-0.2471923828125,-0.14,-10.08,0.19,-32.25,15.875,38.375,-0.002181661564992912,-0.009817477042468103,0.008726646259971648
1733362711012.049,0.6734619140625,-0.65008544921875,0.2506103515625,-0.2470703125,-0.16,-10.040000000000001,0.28,-31.25,15.5,37.5625,-0.01090830782496456,0.002181661564992912,0.001090830782496456
1733362711140.5771,0.673583984375,-0.64996337890625,0.2506103515625,-0.24700927734375,-0.42,-10.06,0.33,-31.5625,16.5625,38.75,-0.01090830782496456,-0.006544984694978736,-0.001090830782496456
1733362711266.855,0.67340087890625,-0.650146484375,0.25054931640625,-0.24713134765625,-0.43,-10.01,0.26,-31.5625,15.0625,38.375,0.007635815477475192,-0.006544984694978736,-0.01090830782496456
1733362711396.197,0.6732177734375,-0.65032958984375,0.25067138671875,-0.2470703125,-0.56,-9.98,-0.06,-31.875,15.875,38.0,0.014180800172453928,-0.003272492347489368,0.0
1733362711524.075,0.673095703125,-0.65045166015625,0.25042724609375,-0.247314453125,-0.28,-9.950000000000001,-0.09,-32.25,16.1875,38.75,-0.015271630954950384,0.003272492347489368,-0.008726646259971648
1733362711650.458,0.67315673828125,-0.650390625,0.2503662109375,-0.24737548828125,-0.23,-10.05,0.2,-31.25,15.875,38.0,-0.026179938779914945,0.0,0.002181661564992912
1733362711777.6948,0.67327880859375,-0.65020751953125,0.250732421875,-0.24700927734375,-0.49,-10.07,0.49,-33.0625,16.1875,37.25,-0.006544984694978736,0.002181661564992912,0.002181661564992912
1733362711903.0508,0.67315673828125,-0.65032958984375,0.250732421875,-0.24700927734375,-0.21,-10.02,0.27,-30.875,15.5,38.0,0.011999138607461015,0.0,0.004363323129985824
1733362712031.085,0.67315673828125,-0.650390625,0.25079345703125,-0.24700927734375,-0.13,-10.03,0.17,-30.875,17.0,38.375,0.004363323129985824,0.001090830782496456,0.001090830782496456
1733362712158.043,0.67315673828125,-0.65032958984375,0.25079345703125,-0.2469482421875,-0.1,-10.02,0.25,-31.875,16.1875,37.5625,-0.00545415391248228,0.0,-0.004363323129985824
1733362712287.0532,0.67315673828125,-0.650390625,0.25079345703125,-0.2469482421875,-0.24,-10.06,0.38,-33.375,15.875,38.75,0.002181661564992912,0.004363323129985824,0.00545415391248228
1733362712414.9438,0.67315673828125,-0.65032958984375,0.25079345703125,-0.24700927734375,-0.11,-10.01,0.21,-30.875,16.1875,38.0,0.002181661564992912,-0.00545415391248228,0.004363323129985824
1733362712542.667,0.67315673828125,-0.65032958984375,0.25079345703125,-0.2469482421875,-0.16,-10.03,0.22,-32.6875,15.5,37.5625,0.003272492347489368,0.004363323129985824,-0.006544984694978736
1733362712672.149,0.67315673828125,-0.65032958984375,0.250732421875,-0.24700927734375,-0.14,-10.02,0.29,-33.375,16.5625,38.375,-0.001090830782496456,0.001090830782496456,0.00545415391248228
