Time,q1,q2,q3,q4,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z
1732595449985.93,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.09,-9.84,2.42,3.25,10.375,-1.6875,0.003272492347489368,-0.001090830782496456,-0.002181661564992912
1732595450183.289,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.05,-9.790000000000001,2.34,3.6875,10.0625,-1.6875,-0.002181661564992912,-0.003272492347489368,-0.001090830782496456
1732595450305.394,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.14,-9.74,2.45,3.25,10.6875,-1.6875,-0.002181661564992912,-0.003272492347489368,0.001090830782496456
1732595450428.952,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.08,-9.77,2.38,4.0625,9.25,-2.0625,0.0,-0.004363323129985824,0.003272492347489368
1732595450552.855,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.13,-9.78,2.37,4.375,10.375,-1.6875,0.0,-0.001090830782496456,-0.001090830782496456
1732595450677.0288,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.13,-9.8,2.36,4.0625,10.0625,-3.1875,-0.001090830782496456,-0.002181661564992912,0.0
1732595450801.7559,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.09,-9.790000000000001,2.38,2.875,9.6875,-1.375,-0.001090830782496456,-0.001090830782496456,-0.001090830782496456
1732595450924.836,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.1,-9.790000000000001,2.42,4.0625,10.6875,-2.0625,0.002181661564992912,-0.004363323129985824,-0.002181661564992912
1732595451050.684,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.1,-9.78,2.36,3.25,10.0625,-1.375,0.002181661564992912,0.002181661564992912,0.0
1732595451174.268,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.05,-9.8,2.35,4.6875,10.0625,-2.875,0.0,0.001090830782496456,0.001090830782496456
1732595451298.227,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.08,-9.790000000000001,2.39,4.0625,10.0625,-2.0625,-0.003272492347489368,-0.001090830782496456,0.0
1732595451422.293,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.08,-9.790000000000001,2.41,3.6875,10.0625,-2.5,-0.002181661564992912,0.0,0.002181661564992912
1732595451544.6018,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.05,-9.8,2.4,2.875,9.6875,-1.6875,-0.003272492347489368,0.001090830782496456,0.001090830782496456
1732595451667.0452,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.06,-9.790000000000001,2.39,4.6875,10.375,-2.875,0.0,0.001090830782496456,0.0
1732595451790.272,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.06,-9.78,2.39,2.875,10.0625,-3.1875,-0.002181661564992912,0.002181661564992912,0.0
1732595451911.37,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.06,-9.8,2.37,4.0625,10.6875,-3.1875,0.003272492347489368,0.002181661564992912,0.0
1732595452033.938,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.06,-9.81,2.39,3.6875,11.0625,-3.1875,0.001090830782496456,0.001090830782496456,0.001090830782496456
1732595452160.004,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.07,-9.78,2.36,5.0625,10.6875,-2.875,0.001090830782496456,0.002181661564992912,-0.001090830782496456
1732595452282.9102,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.04,-9.790000000000001,2.36,4.375,10.375,-2.0625,-0.001090830782496456,0.0,0.004363323129985824
1732595452409.563,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.07,-9.78,2.37,4.6875,10.6875,-3.1875,0.001090830782496456,0.002181661564992912,0.0
1732595452530.81,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.06,-9.81,2.39,1.375,11.5,-2.0625,0.001090830782496456,0.001090830782496456,0.0
1732595452655.077,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.05,-9.82,2.35,2.875,10.375,-2.0625,0.003272492347489368,-0.001090830782496456,-0.002181661564992912
1732595452776.34,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.05,-9.8,2.44,4.375,9.6875,-2.5,0.0,-0.001090830782496456,0.0
1732595452899.028,0.59637451171875,-0.46514892578125,-0.40533447265625,-1.48651123046875,0.04,-9.790000000000001,2.41,5.0625,9.6875,-2.0625,0.002181661564992912,0.0,0.0
1732595453021.962,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.06,-9.78,2.38,2.875,10.375,-1.375,0.003272492347489368,0.0,0.002181661564992912
1732595453145.246,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.03,-9.8,2.41,3.25,10.6875,-2.875,0.0,-0.001090830782496456,-0.002181661564992912
1732595453269.353,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.05,-9.77,2.4,2.875,10.0625,-2.875,0.0,-0.002181661564992912,0.0
1732595453392.8188,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.06,-9.790000000000001,2.41,3.25,10.0625,-1.375,0.0,0.001090830782496456,-0.001090830782496456
1732595453513.8208,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.06,-9.77,2.38,4.0625,10.0625,-1.6875,0.002181661564992912,0.001090830782496456,-0.001090830782496456
1732595453639.7742,0.59637451171875,-0.46514892578125,-0.40533447265625,0.51348876953125,0.06,-9.8,2.4,4.0625,11.0625,-2.0625,0.0,-0.001090830782496456,-0.001090830782496456
